id,device,timestamp,accuracy,azimuth,pitch,roll,timestamp
67058067-f97c-4e2b-b01b-ada0e5a128a9-1,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.547351,3,61.234375,-10.859375,-8.90625,1381200778.547351
67058067-f97c-4e2b-b01b-ada0e5a128a9-2,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.577371,3,61.171875,-6.78125,-0.59375,1381200778.577371
67058067-f97c-4e2b-b01b-ada0e5a128a9-3,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.608897,3,61.25,-11.125,2.21875,1381200778.608897
67058067-f97c-4e2b-b01b-ada0e5a128a9-4,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.637349,3,61.265625,-8.5625,0.0,1381200778.637349
67058067-f97c-4e2b-b01b-ada0e5a128a9-5,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.667604,3,61.3125,-9.25,-1.09375,1381200778.667604
67058067-f97c-4e2b-b01b-ada0e5a128a9-6,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.698349,3,61.359375,-9.15625,-0.390625,1381200778.698349
67058067-f97c-4e2b-b01b-ada0e5a128a9-7,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.727372,3,61.46875,-9.609375,5.6875,1381200778.727372
67058067-f97c-4e2b-b01b-ada0e5a128a9-8,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.757376,3,61.640625,-12.984375,12.4375,1381200778.757376
67058067-f97c-4e2b-b01b-ada0e5a128a9-9,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.787434,3,61.734375,-10.234375,2.203125,1381200778.787434
67058067-f97c-4e2b-b01b-ada0e5a128a9-10,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.817458,3,61.796875,-9.875,-1.453125,1381200778.817458
67058067-f97c-4e2b-b01b-ada0e5a128a9-11,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.848249,3,61.859375,-9.359375,0.390625,1381200778.848249
67058067-f97c-4e2b-b01b-ada0e5a128a9-12,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.877395,3,61.953125,-10.265625,5.265625,1381200778.877395
67058067-f97c-4e2b-b01b-ada0e5a128a9-13,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.907377,3,62.0625,-10.46875,7.578125,1381200778.907377
67058067-f97c-4e2b-b01b-ada0e5a128a9-14,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.948457,3,62.140625,-9.640625,1.140625,1381200778.948457
67058067-f97c-4e2b-b01b-ada0e5a128a9-15,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200778.981772,3,62.171875,-7.203125,4.796875,1381200778.981772
67058067-f97c-4e2b-b01b-ada0e5a128a9-16,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.007393,3,62.234375,-6.46875,12.828125,1381200779.007393
67058067-f97c-4e2b-b01b-ada0e5a128a9-18,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.067361,3,62.25,-5.015625,5.765625,1381200779.067361
67058067-f97c-4e2b-b01b-ada0e5a128a9-19,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.097415,3,62.234375,-1.703125,6.5,1381200779.097415
67058067-f97c-4e2b-b01b-ada0e5a128a9-20,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.127728,3,62.265625,-1.8125,8.34375,1381200779.127728
67058067-f97c-4e2b-b01b-ada0e5a128a9-21,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.158307,3,62.296875,0.171875,9.15625,1381200779.158307
67058067-f97c-4e2b-b01b-ada0e5a128a9-22,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.187386,3,62.21875,3.671875,2.1875,1381200779.187386
67058067-f97c-4e2b-b01b-ada0e5a128a9-23,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.217934,3,62.171875,6.046875,5.765625,1381200779.217934
67058067-f97c-4e2b-b01b-ada0e5a128a9-24,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.247355,3,62.328125,-0.140625,11.375,1381200779.247355
67058067-f97c-4e2b-b01b-ada0e5a128a9-25,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.279603,3,62.53125,-1.203125,11.78125,1381200779.279603
67058067-f97c-4e2b-b01b-ada0e5a128a9-26,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.307441,3,62.65625,0.8125,5.234375,1381200779.307441
67058067-f97c-4e2b-b01b-ada0e5a128a9-27,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.337455,3,62.78125,2.328125,6.984375,1381200779.337455
67058067-f97c-4e2b-b01b-ada0e5a128a9-28,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.367384,3,62.96875,-0.953125,4.28125,1381200779.367384
67058067-f97c-4e2b-b01b-ada0e5a128a9-29,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.39738,3,63.140625,-0.890625,1.03125,1381200779.39738
67058067-f97c-4e2b-b01b-ada0e5a128a9-30,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.427539,3,63.390625,-0.171875,8.796875,1381200779.427539
67058067-f97c-4e2b-b01b-ada0e5a128a9-31,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.457347,3,63.640625,-0.8125,7.9375,1381200779.457347
67058067-f97c-4e2b-b01b-ada0e5a128a9-32,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.487387,3,63.875,-0.359375,9.390625,1381200779.487387
67058067-f97c-4e2b-b01b-ada0e5a128a9-33,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.517937,3,64.125,-1.203125,7.65625,1381200779.517937
67058067-f97c-4e2b-b01b-ada0e5a128a9-34,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.547369,3,64.359375,0.59375,8.84375,1381200779.547369
67058067-f97c-4e2b-b01b-ada0e5a128a9-35,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.577363,3,64.5625,1.734375,10.515625,1381200779.577363
67058067-f97c-4e2b-b01b-ada0e5a128a9-36,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.607386,3,64.75,2.234375,8.109375,1381200779.607386
67058067-f97c-4e2b-b01b-ada0e5a128a9-37,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.647432,3,64.84375,4.515625,5.125,1381200779.647432
67058067-f97c-4e2b-b01b-ada0e5a128a9-38,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.66996,3,64.953125,5.015625,8.703125,1381200779.66996
67058067-f97c-4e2b-b01b-ada0e5a128a9-39,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.708223,3,65.078125,4.703125,8.28125,1381200779.708223
67058067-f97c-4e2b-b01b-ada0e5a128a9-40,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.737769,3,65.21875,6.625,12.0,1381200779.737769
67058067-f97c-4e2b-b01b-ada0e5a128a9-41,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.757386,3,65.328125,6.8125,11.0625,1381200779.757386
67058067-f97c-4e2b-b01b-ada0e5a128a9-42,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.787384,3,65.40625,7.71875,9.609375,1381200779.787384
67058067-f97c-4e2b-b01b-ada0e5a128a9-43,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.820241,3,65.515625,7.4375,10.34375,1381200779.820241
67058067-f97c-4e2b-b01b-ada0e5a128a9-44,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.857355,3,65.546875,9.265625,8.53125,1381200779.857355
67058067-f97c-4e2b-b01b-ada0e5a128a9-45,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.877346,3,65.609375,9.15625,9.5625,1381200779.877346
67058067-f97c-4e2b-b01b-ada0e5a128a9-46,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.907354,3,65.671875,8.5625,8.3125,1381200779.907354
67058067-f97c-4e2b-b01b-ada0e5a128a9-47,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.937349,3,65.734375,8.953125,9.84375,1381200779.937349
67058067-f97c-4e2b-b01b-ada0e5a128a9-48,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.972011,3,65.828125,7.4375,9.640625,1381200779.972011
67058067-f97c-4e2b-b01b-ada0e5a128a9-49,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200779.997357,3,65.9375,8.03125,11.75,1381200779.997357
67058067-f97c-4e2b-b01b-ada0e5a128a9-51,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.027579,3,66.0625,8.109375,13.546875,1381200780.027579
67058067-f97c-4e2b-b01b-ada0e5a128a9-52,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.057427,3,66.15625,7.75,9.640625,1381200780.057427
67058067-f97c-4e2b-b01b-ada0e5a128a9-53,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.087483,3,66.25,8.171875,9.953125,1381200780.087483
67058067-f97c-4e2b-b01b-ada0e5a128a9-54,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.117385,3,66.296875,9.75,9.75,1381200780.117385
67058067-f97c-4e2b-b01b-ada0e5a128a9-55,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.147487,3,66.34375,9.296875,9.953125,1381200780.147487
67058067-f97c-4e2b-b01b-ada0e5a128a9-56,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.17736,3,66.40625,9.09375,9.5,1381200780.17736
67058067-f97c-4e2b-b01b-ada0e5a128a9-57,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.21734,3,66.453125,8.59375,8.8125,1381200780.21734
67058067-f97c-4e2b-b01b-ada0e5a128a9-58,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.237351,3,66.53125,7.96875,11.0625,1381200780.237351
67058067-f97c-4e2b-b01b-ada0e5a128a9-59,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.267343,3,66.578125,8.359375,10.65625,1381200780.267343
67058067-f97c-4e2b-b01b-ada0e5a128a9-60,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.297347,3,66.625,8.390625,10.1875,1381200780.297347
67058067-f97c-4e2b-b01b-ada0e5a128a9-61,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.32769,3,66.671875,7.9375,9.921875,1381200780.32769
67058067-f97c-4e2b-b01b-ada0e5a128a9-62,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.357345,3,66.71875,6.921875,9.109375,1381200780.357345
67058067-f97c-4e2b-b01b-ada0e5a128a9-63,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.387344,3,66.75,8.375,9.015625,1381200780.387344
67058067-f97c-4e2b-b01b-ada0e5a128a9-64,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.417341,3,66.765625,7.796875,7.796875,1381200780.417341
67058067-f97c-4e2b-b01b-ada0e5a128a9-65,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.44735,3,66.765625,9.125,8.390625,1381200780.44735
67058067-f97c-4e2b-b01b-ada0e5a128a9-66,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.477352,3,66.828125,6.8125,8.796875,1381200780.477352
67058067-f97c-4e2b-b01b-ada0e5a128a9-67,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.507349,3,66.875,7.40625,9.390625,1381200780.507349
67058067-f97c-4e2b-b01b-ada0e5a128a9-68,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.537393,3,66.921875,8.109375,9.890625,1381200780.537393
67058067-f97c-4e2b-b01b-ada0e5a128a9-69,6b4eb937-f797-4327-89b6-bab34b8f750c,1381200780.567385,3,66.96875,7.515625,9.328125,1381200780.567385
