id,device,timestamp,accuracy,azimuth,pitch,roll,timestamp
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-1,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.081728,3,61.53125,-17.359375,-1.84375,1381906516.081728
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-2,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.111723,3,61.484375,-17.6875,-1.8125,1381906516.111723
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-3,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.141756,3,61.46875,-17.921875,-1.171875,1381906516.141756
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-4,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.171727,3,61.515625,-17.640625,-0.171875,1381906516.171727
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-5,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.201733,3,61.390625,-15.0,0.0,1381906516.201733
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-7,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.241715,3,61.4375,-18.296875,-1.375,1381906516.241715
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-8,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.264847,3,61.59375,-19.65625,-0.453125,1381906516.264847
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-9,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.301704,3,61.65625,-18.234375,-0.640625,1381906516.301704
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-10,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.341717,3,61.765625,-19.421875,-1.59375,1381906516.341717
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-11,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.371957,3,61.828125,-18.890625,-2.046875,1381906516.371957
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-12,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.401772,3,61.875,-18.421875,-1.53125,1381906516.401772
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-13,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.422776,3,61.875,-18.421875,-2.4375,1381906516.422776
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-14,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.451693,3,61.84375,-18.09375,-3.046875,1381906516.451693
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-15,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.481692,3,61.796875,-18.0625,-2.40625,1381906516.481692
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-16,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.511695,3,61.765625,-17.765625,-2.234375,1381906516.511695
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-17,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.541704,3,61.59375,-19.1875,-9.15625,1381906516.541704
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-18,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.571704,3,61.4375,-18.625,-7.921875,1381906516.571704
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-19,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.601698,3,61.3125,-16.703125,-4.28125,1381906516.601698
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-20,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.631812,3,61.265625,-16.65625,-0.953125,1381906516.631812
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-21,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.661787,3,61.3125,-18.0625,-0.453125,1381906516.661787
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-22,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.692766,3,61.34375,-19.09375,-3.1875,1381906516.692766
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-23,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.721741,3,61.4375,-20.109375,-3.46875,1381906516.721741
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-24,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.751817,3,61.46875,-19.328125,-2.328125,1381906516.751817
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-25,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.781734,3,61.609375,-22.265625,-6.703125,1381906516.781734
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-26,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.841735,3,61.40625,-14.625,-0.171875,1381906516.841735
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-27,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.874408,3,61.3125,-20.734375,-9.890625,1381906516.874408
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-28,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.901708,3,61.3125,-21.0,-9.328125,1381906516.901708
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-29,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.931727,3,61.328125,-19.5625,-5.515625,1381906516.931727
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-30,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.962052,3,61.296875,-19.3125,-6.671875,1381906516.962052
7a2cdf5f-31ae-4d7f-8a33-eb2fedeedb75-31,6b4eb937-f797-4327-89b6-bab34b8f750c,1381906516.991759,3,61.28125,-19.09375,-6.03125,1381906516.991759
